ID,Type,Name,Address,Grade,District,AGA Division,PS/MC/UC
1040,Travel Agents,SALLELANKA (PVT) LTD,"NO:199 D,KOTEGEDARA ROAD,MADAPATHA,PILIYANDALA",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1041,Travel Agents,ADVENTA HOLDINGS (PVT) LTD,"NO:763/14,PANNIPITIYA ROAD, BATTARAMULLA.",Not Graded,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
1042,Travel Agents,XENIA ABODE SERVICES (PVT) LTD,"LEVEL 34,EAST TOWER,WORLD TRADE CENTER,COLOMBO 1",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1043,Travel Agents,SUNLINE TRAVELS AND TOURS (PVT) LTD,"NO:86 1/1,LEWIS PLACE,NEGAMBO",Not Graded,Gampaha,Negombo,Gampaha Divisional Secretariat
1044,Travel Agents,BERNARD TOURS (PVT) LTD.,"NO: 86-2/1,CHATHAM STREET,COLOMBO 01",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1045,Travel Agents,SERENDIB HOLIDAYS (PVT) LTD,"NO:86-2/1A,CHATHAM STREET,COLOMBO 01",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1046,Travel Agents,UNIQUE TOURS,"NO:471/1 A,GALLE ROAD,MOUNT LAVINIA",Not Graded,Colombo,Dehiwala-Mount Lavinia,Mount Lavinia
1047,Travel Agents,MELON KUGAR ASIA PVT LIMITED,"NO 7,WASALA ROAD,DEHIWALA",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1048,Travel Agents,HOUSE OF TRAVELS & TOURISM (PVT) LTD,"NO. 220, HIGH LEVEL ROAD, COLOMBO 06",Not Graded,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat
1049,Travel Agents,OFF 2 SRI LANKA,"NO 436/3A,HOKANDARA ROAD,HOKANDARA",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1050,Travel Agents,SAVEN TRAVELS & TRADING (PVT) LTD,"NO:532/4A,NEW KANDY ROAD,THALANGAMA NORTH,BATTARAMULLA",Not Graded,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
1051,Travel Agents,SUNWAY INTERNATIONAL (PVT) LTD,"NO:25,KIBULAPITIYA ROAD,NEGAMBO",Not Graded,Gampaha,Negombo,Negombo Divisional Secretariat
1052,Travel Agents,PARADISE ESCAPADES(PVT)LTD,"55/51,10TH LANE SOUTH,WICKRAMASINGHEPURA.BATTARAMULLA",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1053,Travel Agents,BELLAGIO LEISURE (PVT)LTD,"727, KANDY ROAD, KELANIYA",Not Graded,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
1054,Travel Agents,I.B.C TOURS (PVT) LTD,"NO:79,SHOPPING COMPLEX,NEW BUS STAND,NEGAMBO",Not Graded,Gampaha,Negombo,Negombo Divisional Secretariat
1055,Travel Agents,QUEEN LANKA HOLIDAY TRAVELS & TOURS,"NO:176/38, THIBIRIGASYAYA RD,COLOMBO 05",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1056,Travel Agents,H.I.S TRAVEL LANKA (PVT) LTD,"NO: 151,1ST FLOOR,GALLE ROAD,COLOMBO 03",Not Graded,Colombo,Colombo,Colombo Divisional Secretariat
1057,Travel Agents,AMASUN REISEN (PRIVATE) LIMITED,"NO:17,THUSARA MAWATHA,NEGAMBO",Not Graded,Gampaha,Negombo,Negombo Divisional Secretariat
1058,Travel Agents,TROPICAL ESCAPES PVT LTD,"NO:296, D3,BATAGAMA SOUTH,KANDANA",Not Graded,Gampaha,Ja-Ela Pradeshiya Sabha,Ja-Ela Divisional Secretariat
1059,Travel Agents,CHAALIYA TOURS (PRIVATE ) LIMITED,"NO:545/1,NUNGAMUGODA,KELANIYA",Not Graded,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
1060,Travel Agents,CHORLA COMBINES,"NO. 68/7, CO-OPERATIVE BUILDING, HATTON",Not Graded,Nuwara Eliya,Nuwara Eliya,Ambagamuwa Divisional Secretariat
1061,Travel Agents,LANKA STAR HOLIDAYS (PVT) LTD,"NO:31/14,MEDHANKARA ROAD,DEHIWALA",Not Graded,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
1062,Travel Agents,LUMINI TRAVELS & TOURS,"NO:114,GALLE ROAD,MORATUWA",Not Graded,Colombo,Moratuwa,Moratuwa Divisional Secretariat
